id,name,bic,description
__export__.res_bank_640,CB JPMORGAN,640,"J.P. Morgan Casa de Bolsa, S.A. de C.V. J.P. Morgan Grupo Financiero"
__export__.res_bank_642,REFORMA,642,"Operadora de Recursos Reforma, S.A. de C.V., S.F.P."
__export__.res_bank_646,STP,646,"Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR"
__export__.res_bank_647,TELECOMM,647,Telecomunicaciones de México
__export__.res_bank_648,EVERCORE,648,"Evercore Casa de Bolsa, S.A. de C.V."
__export__.res_bank_649,SKANDIA,649,"Skandia Operadora de Fondos, S.A. de C.V."
__export__.res_bank_651,SEGMTY,651,"Seguros Monterrey New York Life, S.A de C.V"
__export__.res_bank_652,ASEA,652,"Solución Asea, S.A. de C.V., Sociedad Financiera Popular"
__export__.res_bank_653,KUSPIT,653,"Kuspit Casa de Bolsa, S.A. de C.V."
__export__.res_bank_655,SOFIEXPRESS,655,"J.P. SOFIEXPRESS, S.A. de C.V., S.F.P."
__export__.res_bank_656,UNAGRA,656,"UNAGRA, S.A. de C.V., S.F.P."
__export__.res_bank_659,OPCIONES EMPRESARIALES DEL NOROESTE,659,"OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P."
__export__.res_bank_901,CLS,901,Cls Bank International
__export__.res_bank_902,INDEVAL,902,"SD. Indeval, S.A. de C.V."
__export__.res_bank_670,LIBERTAD,670,"Libertad Servicios Financieros, S.A. De C.V."
