id,name,code
hr_mx_ext.tipotrabajador_1,Permanente,1
hr_mx_ext.tipotrabajador_2,Eventual,2
hr_mx_ext.tipotrabajador_3,Contrucción,3
hr_mx_ext.tipotrabajador_4,Eventuales del Campo,4
