id,clave_sat,state_id/id,name
__export__.res_country_state_ciudad_03TLA,03,TLA,Tlaxcala (Tlaxcala de Xicotencatl)
__export__.res_country_state_ciudad_03VER,03,VER,Boca del RÍo
__export__.res_country_state_ciudad_03YUC,03,YUC,Ticul
__export__.res_country_state_ciudad_03ZAC,03,ZAC,Zacatecas
__export__.res_country_state_ciudad_04AGU,04,AGU,Jesús María
__export__.res_country_state_ciudad_04BCN,04,BCN,Tijuana
__export__.res_country_state_ciudad_04BCS,04,BCS,San José del Cabo
__export__.res_country_state_ciudad_04CAM,04,CAM,Candelaria
__export__.res_country_state_ciudad_04COA,04,COA,Monclova
__export__.res_country_state_ciudad_04COL,04,COL,Ciudad de Villa de Álvarez
__export__.res_country_state_ciudad_04CHH,04,CHH,Delicias
__export__.res_country_state_ciudad_04CHP,04,CHP,Tuxtla Gutiérrez
__export__.res_country_state_ciudad_04DIF,04,DIF,Ciudad de México
__export__.res_country_state_ciudad_04DUR,04,DUR,Santiago Papasquiaro
__export__.res_country_state_ciudad_04GRO,04,GRO,Taxco de Alarcón
__export__.res_country_state_ciudad_04GUA,04,GUA,Cortazar
__export__.res_country_state_ciudad_04HID,04,HID,Cd. de Fray Bernardino de Sahagún
__export__.res_country_state_ciudad_04JAL,04,JAL,Lagos de Moreno
__export__.res_country_state_ciudad_04MEX,04,MEX,Cuautitlán Izcalli
__export__.res_country_state_ciudad_04MIC,04,MIC,Jacona de Plancarte
__export__.res_country_state_ciudad_04MOR,04,MOR,Jojutla
__export__.res_country_state_ciudad_04NAY,04,NAY,Acaponeta
__export__.res_country_state_ciudad_04NLE,04,NLE,Guadalupe
__export__.res_country_state_ciudad_04OAX,04,OAX,San Juan Bautista Tuxtepec
__export__.res_country_state_ciudad_04PUE,04,PUE,San Martín Texmelucan de Labastida
__export__.res_country_state_ciudad_04QUE,04,QUE,El Pueblito
__export__.res_country_state_ciudad_04ROO,04,ROO,Chetumal
__export__.res_country_state_ciudad_04SIN,04,SIN,Guasave
__export__.res_country_state_ciudad_04SLP,04,SLP,Rioverde
