id,clave_sat,state_id/id,name
__export__.res_country_state_municipio_004CHH,004,CHH,Aquiles Serdán
__export__.res_country_state_municipio_004CHP,004,CHP,Altamirano
__export__.res_country_state_municipio_004DIF,004,DIF,Cuajimalpa de Morelos
__export__.res_country_state_municipio_004DUR,004,DUR,Cuencamé
__export__.res_country_state_municipio_004GRO,004,GRO,Alcozauca de Guerrero
__export__.res_country_state_municipio_004GUA,004,GUA,Apaseo el Alto
__export__.res_country_state_municipio_004HID,004,HID,Agua Blanca de Iturbide
__export__.res_country_state_municipio_004JAL,004,JAL,Amacueca
__export__.res_country_state_municipio_004MEX,004,MEX,Almoloya de Alquisiras
__export__.res_country_state_municipio_004MIC,004,MIC,Angamacutiro
__export__.res_country_state_municipio_004MOR,004,MOR,Ayala
__export__.res_country_state_municipio_004NAY,004,NAY,Compostela
__export__.res_country_state_municipio_004NLE,004,NLE,Allende
__export__.res_country_state_municipio_004OAX,004,OAX,Asunción Cuyotepeji
__export__.res_country_state_municipio_004PUE,004,PUE,Acatzingo
__export__.res_country_state_municipio_004QUE,004,QUE,Cadereyta de Montes
__export__.res_country_state_municipio_004ROO,004,ROO,Othón P. Blanco
__export__.res_country_state_municipio_004SIN,004,SIN,Concordia
__export__.res_country_state_municipio_004SLP,004,SLP,Armadillo de los Infante
__export__.res_country_state_municipio_004SON,004,SON,Altar
__export__.res_country_state_municipio_004TAB,004,TAB,Centro
__export__.res_country_state_municipio_004TAM,004,TAM,Antiguo Morelos
__export__.res_country_state_municipio_004TLA,004,TLA,Atltzayanca
__export__.res_country_state_municipio_004VER,004,VER,Actopan
__export__.res_country_state_municipio_004YUC,004,YUC,Baca
__export__.res_country_state_municipio_004ZAC,004,ZAC,Benito Juárez
__export__.res_country_state_municipio_005AGU,005,AGU,Jesús María
__export__.res_country_state_municipio_005BCN,005,BCN,Playas de Rosarito
__export__.res_country_state_municipio_005CAM,005,CAM,Hecelchakán
__export__.res_country_state_municipio_005COA,005,COA,Candela
__export__.res_country_state_municipio_005COL,005,COL,Cuauhtémoc
__export__.res_country_state_municipio_005CHH,005,CHH,Ascensión
__export__.res_country_state_municipio_005CHP,005,CHP,Amatán
__export__.res_country_state_municipio_005DIF,005,DIF,Gustavo A. Madero
__export__.res_country_state_municipio_005DUR,005,DUR,Durango
__export__.res_country_state_municipio_005GRO,005,GRO,Alpoyeca
